Device,Failure_Mode,Risk,Suggestion
device003_7,Transport/interface-limited,0.7681159420289855,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device003_8,Recombination-limited,0.6811594202898551,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device003_6,Recombination-limited,0.6666666666666666,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_3,Recombination-limited,0.6521739130434782,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device001_3,Transport/interface-limited,0.6521739130434782,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device004_4,Recombination-limited,0.6376811594202899,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device001_6,Transport/interface-limited,0.6231884057971014,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device001_4,Transport/interface-limited,0.6231884057971014,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device003_5,Recombination-limited,0.608695652173913,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device003_1,Recombination-limited,0.5942028985507246,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_2,Recombination-limited,0.5652173913043478,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device003_4,Recombination-limited,0.5507246376811594,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_1,Recombination-limited,0.5507246376811593,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_5,Recombination-limited,0.5362318840579711,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_6,Recombination-limited,0.47826086956521735,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device001_7,Transport/interface-limited,0.4202898550724638,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device004_7,Recombination-limited,0.4202898550724637,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device004_8,Recombination-limited,0.4057971014492754,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device001_2,Transport/interface-limited,0.40579710144927533,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device001_5,Shunt-limited,0.34782608695652173,"Improve film coverage, reduce pinholes, improve substrate cleaning."
device001_1,Transport/interface-limited,0.34782608695652173,"Improve contacts, tune ETL/HTL thickness, reduce interface barriers."
device003_3,Recombination-limited,0.2608695652173913,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
device003_2,Recombination-limited,0.2028985507246377,"Reduce traps, improve bulk and interface passivation, optimize crystallization."
